trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'e': 0.7931669555912326, 'a': 0.7931669555912326}",20,7,-77.05149105814804,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
113,False,"{'e': 0.790088625147145, 'a': 0.790088625147145}",20,0,-123.83712441326146,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
114,False,"{'e': 0.7869795113986164, 'a': 0.7869795113986164}",30,1,-131.25757259281048,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 3}",1
115,False,"{'e': 0.7838393065126026, 'a': 0.7838393065126026}",20,0,-132.38298906831383,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
116,False,"{'e': 0.7806676995777286, 'a': 0.7806676995777286}",20,12,6.386037334224294,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'e': 0.7774643765735059, 'a': 0.7774643765735059}",20,12,-19.300024008619385,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
118,False,"{'e': 0.7742290203392409, 'a': 0.7742290203392409}",30,9,-68.11219920158801,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 1}",1
119,False,"{'e': 0.7709613105426333, 'a': 0.7709613105426333}",20,0,-121.95845547181169,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
120,False,"{'e': 0.7676609236480596, 'a': 0.7676609236480596}",20,0,-31.811960585400776,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
121,False,"{'e': 0.7643275328845401, 'a': 0.7643275328845401}",20,0,-17.771665508925317,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
122,False,"{'e': 0.7609608082133855, 'a': 0.7609608082133855}",20,2,-34.08498450505549,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
123,False,"{'e': 0.7575604162955194, 'a': 0.7575604162955194}",25,6,-72.19017733109462,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
124,False,"{'e': 0.7541260204584745, 'a': 0.7541260204584745}",20,0,-77.31842708557168,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
125,False,"{'e': 0.7506572806630593, 'a': 0.7506572806630593}",30,0,-32.15887561673654,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
126,False,"{'e': 0.7471538534696899, 'a': 0.7471538534696899}",30,13,-99.39045193216671,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
127,False,"{'e': 0.7436153920043868, 'a': 0.7436153920043868}",25,0,-87.0060243597321,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
128,False,"{'e': 0.7400415459244306, 'a': 0.7400415459244306}",30,0,-132.66236868985985,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
129,False,"{'e': 0.736431961383675, 'a': 0.736431961383675}",20,0,-59.705312428055244,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
130,False,"{'e': 0.7327862809975118, 'a': 0.7327862809975118}",25,9,-21.2844830970344,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
131,False,"{'e': 0.7291041438074869, 'a': 0.7291041438074869}",20,2,-55.452213115006906,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
132,False,"{'e': 0.7253851852455617, 'a': 0.7253851852455617}",25,11,-23.815820986756155,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
133,False,"{'e': 0.7216290370980173, 'a': 0.7216290370980173}",20,0,12.768244809087037,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'e': 0.7178353274689975, 'a': 0.7178353274689975}",20,0,-78.95858378078265,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
135,False,"{'e': 0.7140036807436875, 'a': 0.7140036807436875}",20,0,-54.88844179799984,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
136,False,"{'e': 0.7101337175511243, 'a': 0.7101337175511243}",20,11,-17.686700252968905,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
137,False,"{'e': 0.7062250547266355, 'a': 0.7062250547266355}",30,13,-32.294701352187666,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'e': 0.7022773052739019, 'a': 0.7022773052739019}",25,0,-139.7014735381306,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
139,False,"{'e': 0.6982900783266409, 'a': 0.6982900783266409}",20,6,-27.736813493900655,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
140,False,"{'e': 0.6942629791099073, 'a': 0.6942629791099073}",30,0,-115.90467703189232,"{0: 17, 1: 1, 2: 11, 3: 1, 4: 0}",0
141,False,"{'e': 0.6901956089010064, 'a': 0.6901956089010064}",20,0,-83.58778403590101,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
142,False,"{'e': 0.6860875649900164, 'a': 0.6860875649900164}",25,11,-77.34993900445397,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
